Date,Description,Item Category,Material Category,Cost Price,Cash,Credit,Finance,Others,Total Sale,gender,age,visit_frequency,satisfaction_rating
"Saturday, January 1, 2022",silver chain,Chain,Silver,18.9,,73.14,,,73.14,Female,19.0,Regular,4.1
"Saturday, January 1, 2022",repiar,Custom Repairs,,,,15.0,,,15.0,Female,37.0,Occasional,3.9
"Saturday, January 1, 2022",steel cross,Charm,FJ,3.0,,45.0,,,45.0,Others,29.0,Occasional,4.6
"Saturday, January 1, 2022",tennis chain and charm,Chain and Charm,FJ,20.0,190.0,,,,190.0,Male,30.0,Occasional,4.4
"Saturday, January 1, 2022",watch repiar,Custom Repairs,,,,19.0,,,19.0,Male,20.0,Occasional,4.0
"Saturday, January 1, 2022",bracelet,Bracelet,FJ,10.0,,60.0,,,60.0,Male,30.0,Regular,3.4
"Saturday, January 1, 2022",cleanni ng,Custom Repairs,,,25.0,20.0,,,45.0,Male,30.0,Regular,4.2
"Sunday, January 2, 2022",14k /diamond ring,Ring,Gold/Diamond,2250.0,500.0,500.0,,,1000.0,Male,20.0,Regular,4.5
"Sunday, January 2, 2022",chain and braccelet,Bracelet,10k Gold,,166.0,,,,166.0,Female,62.0,Rare,4.1
"Sunday, January 2, 2022",10k braceleyt,Bracelet,10k Gold,45.0,106.0,,,,106.0,Male,21.0,Rare,3.5
"Sunday, January 2, 2022",dia king charm,Charm,Silver/Diamond,95.0,,,795.0,,795.0,Female,47.0,Occasional,3.7
"Sunday, January 2, 2022",picture charm,Charm,Silver,75.0,,119.25,,,119.25,Female,20.0,Occasional,3.3
"Sunday, January 2, 2022",repiar,Custom Repairs,,,,21.2,,,21.2,Male,28.0,Regular,4.5
"Sunday, January 2, 2022",tennis chain,Chain,FJ,43.0,150.0,,,,150.0,Female,39.0,Occasional,3.8
"Sunday, January 2, 2022",silver ring,Ring,Silver,20.0,24.0,95.0,,,119.0,Female,69.0,Regular,3.8
"Sunday, January 2, 2022",tennis chian,Chain,FJ,18.0,,80.0,,,80.0,Male,41.0,Occasional,4.7
"Tuesday, January 4, 2022",repiar,Custom Repairs,,,45.0,,,,45.0,Female,23.0,Occasional,3.4
"Tuesday, January 4, 2022",fj chain,Chain,FJ,29.0,275.0,,,,275.0,Female,38.0,Regular,3.5
"Wednesday, January 5, 2022",repiar,Custom Repairs,,,12.0,,,,12.0,Male,32.0,Regular,3.8
"Wednesday, January 5, 2022",fj ring,Ring,FJ,10.0,80.0,,,,80.0,Male,57.0,Regular,3.8
"Wednesday, January 5, 2022",diamond bracelet,Bracelet,Silver/Diamond,100.0,,400.0,,,400.0,Female,45.0,Regular,3.4
"Wednesday, January 5, 2022",silver charm and chain,Chain and Charm,Silver,10.0,,63.6,,,63.6,Male,32.0,Rare,4.0
"Thursday, January 6, 2022",fj chain and charm,Chain and Charm,FJ,70.0,,280.5,,,280.5,Male,58.0,Rare,3.3
"Thursday, January 6, 2022",tennis chain,Chain,FJ,30.0,200.0,,,,200.0,Male,64.0,Regular,4.9
"Thursday, January 6, 2022",silver ring,Ring,Silver,20.0,,106.0,,,106.0,Female,32.0,Rare,4.2
"Friday, January 7, 2022",repair,Custom Repairs,,,,49.0,,,49.0,Female,61.0,Occasional,3.9
"Friday, January 7, 2022",ring resize,Custom Repairs,,,50.0,,,,50.0,Female,30.0,Regular,5.0
"Friday, January 7, 2022",bottom go,Custom Fronts,Silver,70.0,100.0,,,,100.0,Others,55.0,Regular,4.9
"Friday, January 7, 2022",fj pendant,Charm,FJ,10.0,73.0,,,,73.0,Female,41.0,Regular,4.9
"Friday, January 7, 2022",pic pendant pick up,Charm,Silver,,,119.25,,,119.25,Male,23.0,Rare,4.2
"Saturday, January 8, 2022",fronts pick up,Custom Fronts,10k Gold,,,185.5,,,185.5,Male,64.0,Rare,4.5
"Saturday, January 8, 2022",watch repiar,Custom Repairs,,,35.0,,,,35.0,Male,58.0,Regular,3.6
"Saturday, January 8, 2022",repiar,Custom Repairs,,,,10.0,,,10.0,Others,42.0,Regular,3.5
"Saturday, January 8, 2022",silver chain and charm,Chain and Charm,Silver,50.0,,212.0,,,212.0,Female,22.0,Regular,4.4
"Saturday, January 8, 2022",fj chain and charm,Chain and Charm,Silver,50.0,,189.0,,,189.0,Male,54.0,Regular,3.7
