Date,Description,Item Category,Material Category,Cost Price,Cash,Credit,Finance,Others,Total Sale,gender,age,visit_frequency,satisfaction_rating
"Sunday, October 1, 2023",10k chain and charm,Chain and Charm,10k Gold,168.0,,397.5,,,397.5,Female,46.0,Regular,3.5
"Sunday, October 1, 2023",3657 gold name plate pick up,Custom Name Necklace,10k Gold,,,96.1,,,96.1,Male,70.0,Occasional,3.5
"Sunday, October 1, 2023",silver ring,Ring,Silver,13.5,60.0,,,,60.0,Female,18.0,Regular,4.0
"Sunday, October 1, 2023",silver chain,Chain,Silver,13.0,,90.1,,,90.1,Male,51.0,Regular,3.3
"Sunday, October 1, 2023",silver studs,Studs,Silver,5.0,,50.0,,,50.0,Female,21.0,Regular,3.8
"Sunday, October 1, 2023",silver studs,Studs,Silver,8.0,,50.0,,,50.0,Male,66.0,Occasional,4.5
"Sunday, October 1, 2023",silver studs,Studs,Silver,10.0,,85.0,,,85.0,Male,58.0,Regular,3.4
"Sunday, October 1, 2023",4* gold fronts 10k pick up,Custom Fronts,10k Gold,,,158.47,,,158.47,Male,69.0,Occasional,4.0
"Monday, October 2, 2023",10k chain,Chain,10k Gold,35.0,,65.0,,,65.0,Others,52.0,Regular,3.4
"Tuesday, October 3, 2023",jewelery repair,Custom Repairs,10k Gold,,20.0,,,,20.0,Female,33.0,Regular,3.7
"Tuesday, October 3, 2023",silver diamond ring and 14k diamond ring ( lawaway),Ring,Silver/Diamond,1481.0,,200.0,,,200.0,Male,47.0,Occasional,4.5
"Thursday, October 5, 2023",jewelery repair,Custom Repairs,10k Gold,,,37.7,,,37.7,Female,39.0,Regular,3.4
"Thursday, October 5, 2023",steel ring,Ring,St. Steel,5.0,85.0,,,,85.0,Male,28.0,Occasional,3.8
"Friday, October 6, 2023",Fj charm (Lawaway) 3670,Charm,FJ,,20.0,,,,20.0,Male,60.0,Occasional,3.7
"Friday, October 6, 2023",steel ring,Ring,St. Steel,10.0,,90.1,,,90.1,Female,54.0,Rare,3.7
"Friday, October 6, 2023",2* jewelery repair,Custom Repairs,10k Gold,,,53.0,,,53.0,Others,26.0,Regular,3.8
"Friday, October 6, 2023",3671 10 k gold chain,Chain,10k Gold,63.0,,238.5,,,238.5,Male,22.0,Occasional,4.7
"Friday, October 6, 2023",10k rope chain,Chain,10k Gold,133.0,,263.94,,,263.94,Male,24.0,Regular,3.7
"Friday, October 6, 2023",watch repair,Custom Repairs,,,,15.9,,,15.9,Female,18.0,Regular,3.4
"Friday, October 6, 2023",fronts repair,Custom Repairs,,,40.0,,,,40.0,Male,57.0,Regular,3.7
"Friday, October 6, 2023",steel bracelet,Bracelet,St. Steel,10.0,,75.0,,,75.0,Others,42.0,Rare,4.3
"Saturday, October 7, 2023",FJ chain,Chain,FJ,40.0,,132.5,,,132.5,Female,24.0,Occasional,4.4
"Saturday, October 7, 2023",3673 6* fronts,Custom Fronts,10k Gold,,,,,,0.0,Female,48.0,Regular,4.8
"Saturday, October 7, 2023",silver chain,Chain,Silver,,180.0,,,,180.0,Female,64.0,Regular,3.6
"Saturday, October 7, 2023",10k gold charm,Charm,10k Gold,189.0,,275.0,,,275.0,Male,39.0,Occasional,3.3
"Saturday, October 7, 2023",10k gold charm,Charm,10k Gold,31.5,53.0,,,,53.0,Others,27.0,Regular,4.1
"Saturday, October 7, 2023",10k goild charm,Charm,10k Gold,84.0,200.0,,,,200.0,Female,55.0,Occasional,3.9
"Sunday, October 8, 2023",silver studs,Studs,Silver,36.0,,190.8,,,190.8,Female,52.0,Regular,3.6
"Sunday, October 8, 2023",jewelery repair,Custom Repairs,10k Gold,,57.0,,,,57.0,Others,19.0,Occasional,4.6
"Sunday, October 8, 2023",jewelery repair,Custom Repairs,,,25.0,,,,25.0,Male,66.0,Occasional,3.7
"Sunday, October 8, 2023",jewelery repair,Custom Repairs,,,,58.3,,,58.3,Male,51.0,Regular,4.4
"Sunday, October 8, 2023",10k gold chain,Chain,10k Gold,87.5,,190.8,,,190.8,Others,23.0,Occasional,4.2
"Sunday, October 8, 2023",jewelery repair,Custom Repairs,,,,42.4,,,42.4,Female,68.0,Regular,4.3
"Sunday, October 8, 2023",gold studs,Studs,14k Gold,,,47.7,,,47.7,Female,69.0,Occasional,3.4
"Monday, October 9, 2023",silver fronts pickup,Custom Fronts,Silver,,133.0,52.0,,,185.0,Female,62.0,Regular,4.8
"Tuesday, October 10, 2023",silver bracelet,Bracelet,Silver,43.0,,185.0,,,185.0,Others,67.0,Regular,4.7
